Factor	Tag	Preferred_NonPref	peakLocation	Final.HA.Annotation	Lambert2018.TF.NotTF	Notes	go_anno	orthologous_group
ADNP	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF962QOB/@@download/ENCFF962QOB.bed.gz	TF	Yes		transcription factor	COG1219
AFF1	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503103&format=file&file=GSM7503103%5FAFF1%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	Other	No		transcription factor	COG3170
AFF4	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF423ZMT/@@download/ENCFF423ZMT.bed.gz	Other	No		transcription factor	COG3170
AGO1		Preferred	https://www.encodeproject.org/files/ENCFF130JQD/@@download/ENCFF130JQD.bed.gz	Other		Argonaute	"RNA binding protein,transcription factor"	COG2304
AGO2		Preferred	https://www.encodeproject.org/files/ENCFF348MDS/@@download/ENCFF348MDS.bed.gz	Other		Argonaute	"RNA binding protein,transcription factor"	COG0438
AHDC1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF418EWE/@@download/ENCFF418EWE.bed.gz	TF	Yes		transcription factor	COG3266
AHR	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF674NDV/@@download/ENCFF674NDV.bed.gz	TF	Yes		transcription factor	COG2205
AKAP8	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF540SLC/@@download/ENCFF540SLC.bed.gz	TF	Yes		RNA binding protein	COG1403
AKNA	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF579OCV/@@download/ENCFF579OCV.bed.gz	TF	Yes		transcription factor	COG1196
ARID3A		Preferred	https://www.encodeproject.org/files/ENCFF694XNQ/@@download/ENCFF694XNQ.bed.gz	TF	Yes		transcription factor	COG3170
ARID4A	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF575UZO/@@download/ENCFF575UZO.bed.gz	Other	No		transcription factor	COG1196
ARID4B	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF434BGG/@@download/ENCFF434BGG.bed.gz	Other	No		transcription factor	COG2433
ARID5B	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF122HBJ/@@download/ENCFF122HBJ.bed.gz	TF	Yes		transcription factor	COG0631
ARNT		Preferred	https://www.encodeproject.org/files/ENCFF055JFR/@@download/ENCFF055JFR.bed.gz	TF	Yes		transcription factor	COG1520
BMAL1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF049HEP/@@download/ENCFF049HEP.bed.gz	TF	Yes		transcription factor	COG1028
ASH2L		Preferred	https://www.encodeproject.org/files/ENCFF248IAZ/@@download/ENCFF248IAZ.bed.gz	TF			"transcription factor,chromatin remodeller"	COG1198
ATAD3A	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF253ECF/@@download/ENCFF253ECF.bed.gz	Other			transcription factor	COG0465
ATF1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF363ZSJ/@@download/ENCFF363ZSJ.bed.gz	TF	Yes		transcription factor	COG1404
ATF2		Non-preferred	https://www.encodeproject.org/files/ENCFF737KKO/@@download/ENCFF737KKO.bed.gz	TF	Yes		transcription factor	COG3206
ATF2	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF865OTB/@@download/ENCFF865OTB.bed.gz	TF	Yes		transcription factor	COG3206
ATF3	FLAG	Non-preferred	https://www.encodeproject.org/files/ENCFF891BJN/@@download/ENCFF891BJN.bed.gz	TF	Yes		transcription factor	COG1196
ATF3		Preferred	https://www.encodeproject.org/files/ENCFF681PQB/@@download/ENCFF681PQB.bed.gz	TF	Yes		transcription factor	COG1196
ATF4	eGFP	Preferred	https://www.encodeproject.org/files/ENCFF690CMF/@@download/ENCFF690CMF.bed.gz	TF	Yes		transcription factor	COG3170
ATF5	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF166CIL/@@download/ENCFF166CIL.bed.gz	TF	Yes		transcription factor	COG3599
ATF6	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF463GXC/@@download/ENCFF463GXC.bed.gz	TF	Yes		transcription factor	COG3170
ATF7		Preferred	https://www.encodeproject.org/files/ENCFF753DBF/@@download/ENCFF753DBF.bed.gz	TF	Yes		transcription factor	COG3206
ATF7	FLAG	Non-preferred	https://www.encodeproject.org/files/ENCFF276IMS/@@download/ENCFF276IMS.bed.gz	TF	Yes		transcription factor	COG3206
ATM		Preferred	https://www.encodeproject.org/files/ENCFF902IRY/@@download/ENCFF902IRY.bed.gz	Other	No		transcription factor	2Z86R
ATRX	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF674JQI/@@download/ENCFF674JQI.bed.gz	Other	No		transcription factor	COG0553
BAZ2A	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503104&format=file&file=GSM7503104%5FBAZ2A%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG0457
BCL3	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF731MBF/@@download/ENCFF731MBF.bed.gz	Other	No		transcription factor	COG0666
BCL6	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF932UJW/@@download/ENCFF932UJW.bed.gz	TF	Yes		transcription factor	COG1403
BCLAF1		Preferred	https://www.encodeproject.org/files/ENCFF491DYX/@@download/ENCFF491DYX.bed.gz	Other	No		"RNA binding protein,transcription factor"	COG1403
BHLHE40		Non-preferred	https://www.encodeproject.org/files/ENCFF263AYI/@@download/ENCFF263AYI.bed.gz	TF	Yes		transcription factor	COG0550
BHLHE40		Preferred	https://www.encodeproject.org/files/ENCFF268DXL/@@download/ENCFF268DXL.bed.gz	TF	Yes		transcription factor	COG0550
BRCA1		Non-preferred	https://www.encodeproject.org/files/ENCFF733IVW/@@download/ENCFF733IVW.bed.gz	Other	No		transcription factor	COG2378
